Time,Description,Milestone
2026-06-01 01:20:19.000 US/Pacific,ricc@ executes chaos scenario1-PROD standard script to simulate network blackholing of the cart checkout,Start of Incident
2026-06-01 01:20:22.000 US/Pacific,NetworkPolicy update-checkout-from-frontend created by the scenario script and successfully applied,
2026-06-01 01:20:23.484 US/Pacific,Last successful order processed by checkoutservice (user JPY order confirmation email sent) before NetworkPolicy starts blocking ingress traffic,
2026-06-01 01:20:31.000 US/Pacific,ricc@ executes scenario2 script initiating buggy frontend canary rollout containing configuration name resolution typo,
2026-06-01 08:48:19.000 US/Pacific,USER escalates issue reporting that users are unable to purchase products from the boutique application,Incident detected
2026-06-01 08:48:26.000 US/Pacific,Jennifer 🐉 armed with a Mace/Club ⚔️ takes the case and initializes the dated outage investigation folder,
2026-06-01 08:48:33.000 US/Pacific,Jennifer 🐉 runs log check on frontend and detects gRPC timeout errors dialing checkoutservice IP 34.118.235.113:5050,
2026-06-01 08:49:12.000 US/Pacific,Jennifer 🐉 discovers update-checkout-from-frontend NetworkPolicy and escalates root cause details to senior SRE madhavikarra@,
2026-06-01 08:49:31.000 US/Pacific,Jennifer 🐉 deletes the problematic update-checkout-from-frontend NetworkPolicy using kubectl,Mitigation
2026-06-01 08:49:34.000 US/Pacific,Jennifer 🐉 patches the PRODUCT_CATALOG_SERVICE_ADDR environment variable typo in frontend-canary deployment,
2026-06-01 08:49:51.000 US/Pacific,Jennifer 🐉 triggers rolling restart of frontend deployment to flush Calico connection tracking tables,
2026-06-01 08:51:19.000 US/Pacific,Rolling restart of frontend deployment successfully completes in background task,
2026-06-01 08:51:21.000 US/Pacific,Verification script successfully executes and validates 100% checkout success rate. Checkoutservice log processing resumed,End of Incident
